nh4_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0509,0.0544,0.0447,0.0553,0.0531,0.0553,0.0539,0.0579,0.0574,0.0569,0.0566,0.0598
B,0.0599,0.0612,0.0453,0.0541,0.0572,0.0582,0.0586,0.0541,0.0577,0.0576,0.0584,0.059
C,0.065,0.0662,0.0453,0.0537,0.0566,0.056,0.0571,0.054,0.0543,0.0582,0.0565,0.0577
D,0.0617,0.0706,0.0455,0.0598,0.0607,0.0552,0.0567,0.0555,0.0601,0.057,0.059,0.0596
E,0.0664,0.0914,0.0455,0.0587,0.0566,0.0542,0.0595,0.0601,0.0573,0.0614,0.0594,0.0535
F,0.0924,0.1057,0.0457,0.0542,0.0574,0.0604,0.0456,0.046,0.0459,0.0459,0.0461,0.046
G,0.1476,0.1295,0.0454,0.0453,0.0459,0.0457,0.0457,0.0465,0.0458,0.0463,0.0459,0.0469
H,0.2365,0.2083,0.0454,0.0447,0.0455,0.0451,0.0454,0.0445,0.0457,0.0456,0.0462,0.0451
,,,,,,,,,,,,
nh4_sam,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,1,2,3,4,5,6,7,8,9
B,,,,10,11,12,13,14,15,16,17,18
C,,,,19,20,21,22,23,24,25,26,27
D,,,,28,29,30,31,32,33,34,35,37
E,,,,36,38,39,40,41,42,43,44,45
F,,,,46,47,48,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
nh4_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,1,1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,10,10,,,,,,,,,,
H,20,20,,,,,,,,,,