no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0828,0.0851,0.0463,0.0865,0.0851,0.0461,0.1872,0.191,0.1929,0.1821,0.1971,0.2024
B,0.0848,0.0882,0.0466,0.0867,0.0855,0.0468,0.2006,0.2149,0.1845,0.1984,0.1801,0.211
C,0.0883,0.0926,0.0466,0.1199,0.1189,0.0465,0.2122,0.2111,0.2018,0.1993,0.1913,0.2155
D,0.1335,0.128,0.0465,0.2076,0.2027,0.0466,0.1999,0.2072,0.1946,0.1461,0.205,0.2087
E,0.1859,0.1891,0.0466,0.3315,0.3205,0.0467,0.1897,0.1363,0.2018,0.1976,0.2116,0.23
F,0.3248,0.3196,0.0468,0.4979,0.4983,0.0466,0.2118,0.2107,0.2078,0.1963,0.218,0.2026
G,0.5874,0.5974,0.0466,0.8967,0.8873,0.0465,0.2014,0.1898,0.2128,0.2051,0.205,0.2072
H,0.9937,0.9901,0.0467,0.1123,0.0927,0.0466,0.2157,0.285,0.2018,0.1705,0.211,0.2323
,,,,,,,,,,,,
no2no3_ps,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,0,0,,1,2,3,4,5,6
B,0.05,0.05,,0.1,0.1,,7,8,9,10,11,12
C,0.1,0.1,,2.5,2.5,,13,14,15,16,17,18
D,2.5,2.5,,5,5,,19,20,21,22,23,24
E,5,5,,10,10,,25,26,27,28,29,30
F,10,10,,20,20,,31,32,33,34,35,36
G,20,20,,40,40,,37,38,39,40,41,42
H,40,40,,,,,43,44,45,46,47,48