no2_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.04,0.0424,0.0461,0.0416,0.0424,0.0463,0.0506,0.042,0.0609,0.0402,0.0427,0.0413
B,0.0403,0.0411,0.0467,0.0391,0.0393,0.0469,0.0418,0.0417,0.0413,0.0427,0.0426,0.0403
C,0.0481,0.0486,0.0469,0.0394,0.0401,0.0471,0.0423,0.0426,0.0426,0.0434,0.0426,0.0427
D,0.0575,0.0587,0.0471,0.0394,0.0392,0.0469,0.0418,0.0421,0.042,0.0422,0.042,0.0418
E,0.0851,0.0878,0.0471,0.0401,0.0394,0.0466,0.0427,0.043,0.0444,0.0413,0.0408,0.0413
F,0.1344,0.1358,0.0478,0.0399,0.0397,0.0478,0.0428,0.0426,0.0433,0.042,0.0437,0.0428
G,0.1986,0.1971,0.0473,0.0393,0.039,0.0468,0.0414,0.0417,0.0423,0.048,0.0427,0.0426
H,0.2676,0.2652,0.047,0.0387,0.0386,0.0468,0.0412,0.0407,0.0414,0.0416,0.0413,0.0416
,,,,,,,,,,,,
no2no3_abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0823,0.0854,0.0459,0.0837,0.0815,0.0463,3.144,0.1735,0.2935,0.1419,0.1742,0.6826
B,0.1122,0.0877,0.0466,0.0861,0.0864,0.08,0.0916,0.082,0.0802,0.1382,0.208,0.0932
C,0.092,0.0933,0.0468,0.1244,0.1322,0.047,0.1089,0.1094,0.0778,0.0971,0.0984,0.0883
D,0.3598,0.3733,0.047,0.1135,0.1358,0.0467,0.0997,0.0825,0.1335,2.6266,0.0807,0.0818
E,0.1358,0.2375,0.0469,0.1601,0.1569,0.1337,0.091,0.11,0.0881,1.0427,0.0788,0.088
F,0.1622,0.1791,0.0475,0.1998,0.199,0.0477,0.1044,0.0903,0.0977,0.0829,0.1497,0.3467
G,0.2387,0.2384,0.0473,0.2881,0.2616,0.0467,0.0784,0.1013,0.1008,0.2659,0.1015,0.1302
H,0.448,0.3049,0.047,0.963,0.3192,0.0467,0.0984,2.9162,0.1125,0.1336,0.1003,0.0933
,,,,,,,,,,,,
no2no3_s,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,1,2,3,4,5,6
B,,,,,,,7,8,9,10,11,12
C,,,,,,,13,14,15,16,17,18
D,,,,,,,19,20,21,22,23,24
E,,,,,,,25,26,27,28,29,30
F,,,,,,,31,32,33,34,35,36
G,,,,,,,37,38,39,40,41,42
H,,,,,,,43,44,45,46,47,48
,,,,,,,,,,,,
no2_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,,,,,,,,,,
B,0.1,0.1,,,,,,,,,,
C,0.5,0.5,,,,,,,,,,
D,1,1,,,,,,,,,,
E,2.5,2.5,,,,,,,,,,
F,5,5,,,,,,,,,,
G,8,8,,,,,,,,,,
H,10,10,,,,,,,,,,
,,,,,,,,,,,,
no3_stds,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,0,0,,,,,,,
B,,,,0.1,0.1,,,,,,,
C,,,,0.5,0.5,,,,,,,
D,,,,1,1,,,,,,,
E,,,,2.5,2.5,,,,,,,
F,,,,5,5,,,,,,,
G,,,,8,8,,,,,,,
H,,,,10,10,,,,,,,